model_alias,difficulty_cell,constraint_load,distractor_similarity,information_load,num_constraints,item_count,expected_record_count,actual_record_count,api_success_count,api_success_denominator,api_success_rate,valid_answer_count,valid_answer_denominator,valid_answer_rate,json_compliant_count,json_compliant_denominator,json_compliant_rate,truncated_count,truncated_denominator,truncated_rate,correct_count,accuracy_all_attempts_denominator,accuracy_all_attempts,valid_accuracy_denominator,valid_answer_accuracy,valid_accuracy_item_cluster_bootstrap_95_ci,complete_valid_item_count,incomplete_item_count,disagreement_item_count,disagreement_denominator,disagreement_rate,correct_wrong_coexist_item_count,correct_wrong_coexist_denominator,correct_wrong_coexist_rate,all_three_valid_and_correct_item_count,all_three_valid_and_wrong_item_count,valid_wrong_answer_count,single_constraint_wrong_count,single_constraint_wrong_denominator,single_constraint_wrong_rate,multi_constraint_wrong_count,multi_constraint_wrong_denominator,multi_constraint_wrong_rate
qwen,CL2__DS3_near__IL1_low,CL2,DS3_near,IL1_low,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL2__DS3_near__IL2_high,CL2,DS3_near,IL2_high,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,27,30,0.9,30,0.9,"[0.7, 1.0]",10,0,0,10,0.0,0,10,0.0,9,1,3,3,3,1.0,0,3,0.0
qwen,CL3__DS1_far__IL1_low,CL3,DS1_far,IL1_low,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL3__DS1_far__IL2_high,CL3,DS1_far,IL2_high,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
qwen,CL3__DS2_medium__IL1_low,CL3,DS2_medium,IL1_low,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,27,30,0.9,30,0.9,"[0.7, 1.0]",10,0,0,10,0.0,0,10,0.0,9,1,3,3,3,1.0,0,3,0.0
qwen,CL3__DS2_medium__IL2_high,CL3,DS2_medium,IL2_high,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,24,30,0.8,30,0.8,"[0.5, 1.0]",10,0,0,10,0.0,0,10,0.0,8,2,6,6,6,1.0,0,6,0.0
qwen,CL3__DS3_near__IL1_low,CL3,DS3_near,IL1_low,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,24,30,0.8,30,0.8,"[0.5, 1.0]",10,0,0,10,0.0,0,10,0.0,8,2,6,6,6,1.0,0,6,0.0
qwen,CL3__DS3_near__IL2_high,CL3,DS3_near,IL2_high,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,24,30,0.8,30,0.8,"[0.5, 1.0]",10,0,0,10,0.0,0,10,0.0,8,2,6,6,6,1.0,0,6,0.0
llama,CL1__DS1_far__IL1_low,CL1,DS1_far,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
llama,CL1__DS1_far__IL2_high,CL1,DS1_far,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
llama,CL1__DS2_medium__IL1_low,CL1,DS2_medium,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
llama,CL1__DS2_medium__IL2_high,CL1,DS2_medium,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,26,30,0.866667,30,0.866667,"[0.666667, 1.0]",10,0,1,10,0.1,1,10,0.1,8,1,4,3,4,0.75,1,4,0.25
llama,CL1__DS3_near__IL1_low,CL1,DS3_near,IL1_low,3,10,30,30,30,30,1.0,30,30,1.0,29,30,0.966667,0,30,0.0,21,30,0.7,30,0.7,"[0.4, 1.0]",10,0,0,10,0.0,0,10,0.0,7,3,9,9,9,1.0,0,9,0.0
llama,CL1__DS3_near__IL2_high,CL1,DS3_near,IL2_high,3,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,20,30,0.666667,30,0.666667,"[0.4, 0.933333]",10,0,2,10,0.2,2,10,0.2,6,2,10,10,10,1.0,0,10,0.0
llama,CL2__DS1_far__IL1_low,CL2,DS1_far,IL1_low,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,27,30,0.9,30,0.9,"[0.7, 1.0]",10,0,0,10,0.0,0,10,0.0,9,1,3,0,3,0.0,3,3,1.0
llama,CL2__DS1_far__IL2_high,CL2,DS1_far,IL2_high,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,27,30,0.9,30,0.9,"[0.7, 1.0]",10,0,0,10,0.0,0,10,0.0,9,1,3,0,3,0.0,3,3,1.0
llama,CL2__DS2_medium__IL1_low,CL2,DS2_medium,IL1_low,5,10,30,30,30,30,1.0,30,30,1.0,29,30,0.966667,1,30,0.033333,19,30,0.633333,30,0.633333,"[0.333333, 0.9]",10,0,1,10,0.1,1,10,0.1,6,3,11,11,11,1.0,0,11,0.0
llama,CL2__DS2_medium__IL2_high,CL2,DS2_medium,IL2_high,5,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,20,30,0.666667,30,0.666667,"[0.366667, 0.933333]",10,0,2,10,0.2,1,10,0.1,6,3,10,7,10,0.7,3,10,0.3
llama,CL2__DS3_near__IL1_low,CL2,DS3_near,IL1_low,5,10,30,30,30,30,1.0,27,30,0.9,27,30,0.9,0,30,0.0,21,30,0.7,27,0.777778,"[0.5, 1.0]",9,1,0,9,0.0,0,9,0.0,7,2,6,6,6,1.0,0,6,0.0
llama,CL2__DS3_near__IL2_high,CL2,DS3_near,IL2_high,5,10,30,30,30,30,1.0,28,30,0.933333,28,30,0.933333,0,30,0.0,13,30,0.433333,28,0.464286,"[0.2, 0.769231]",9,1,3,9,0.333333,2,9,0.222222,3,4,15,15,15,1.0,0,15,0.0
llama,CL3__DS1_far__IL1_low,CL3,DS1_far,IL1_low,7,10,30,30,30,30,1.0,30,30,1.0,30,30,1.0,0,30,0.0,30,30,1.0,30,1.0,"[1.0, 1.0]",10,0,0,10,0.0,0,10,0.0,10,0,0,0,0,,0,0,
llama,CL3__DS1_far__IL2_high,CL3,DS1_far,IL2_high,7,10,30,30,30,30,1.0,29,30,0.966667,29,30,0.966667,0,30,0.0,20,30,0.666667,29,0.689655,"[0.37931, 1.0]",9,1,1,9,0.111111,0,9,0.0,6,3,9,0,9,0.0,9,9,1.0
llama,CL3__DS2_medium__IL1_low,CL3,DS2_medium,IL1_low,7,10,30,30,30,30,1.0,27,30,0.9,27,30,0.9,0,30,0.0,14,30,0.466667,27,0.518519,"[0.185185, 0.814815]",9,1,2,9,0.222222,1,9,0.111111,4,4,13,11,13,0.846154,2,13,0.153846
llama,CL3__DS2_medium__IL2_high,CL3,DS2_medium,IL2_high,7,10,30,30,30,30,1.0,27,30,0.9,27,30,0.9,0,30,0.0,21,30,0.7,27,0.777778,"[0.533333, 1.0]",9,1,2,9,0.222222,2,9,0.222222,6,1,6,4,6,0.666667,2,6,0.333333
llama,CL3__DS3_near__IL1_low,CL3,DS3_near,IL1_low,7,10,30,30,30,30,1.0,30,30,1.0,29,30,0.966667,0,30,0.0,16,30,0.533333,30,0.533333,"[0.233333, 0.833333]",10,0,2,10,0.2,2,10,0.2,4,4,14,14,14,1.0,0,14,0.0
llama,CL3__DS3_near__IL2_high,CL3,DS3_near,IL2_high,7,10,30,30,30,30,1.0,24,30,0.8,23,30,0.766667,1,30,0.033333,10,30,0.333333,24,0.416667,"[0.142857, 0.68]",6,4,2,6,0.333333,2,6,0.333333,1,3,14,14,14,1.0,0,14,0.0
